reference,objet_marche,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,budget,date_publication,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_requis_administratif,documents_requis_technique,documents_requis_financier,conditions_participation,chef_de_mission_diplome,chef_de_mission_experience,chef_de_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2027385,Marché de prestation 2385,Ministère de l'Équipement,"Rue 2385, Rabat",05 37 00 00 85,05 37 00 00 85,2254345,2024-06-09,145,19,27,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027386,Marché de prestation 2386,Ministère de l'Équipement,"Rue 2386, Rabat",05 37 00 00 86,05 37 00 00 86,4310966,2024-12-29,80,49,42,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027387,Marché de prestation 2387,Ministère de l'Équipement,"Rue 2387, Rabat",05 37 00 00 87,05 37 00 00 87,1931522,2024-04-30,105,21,33,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,15,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027388,Marché de prestation 2388,Ministère de l'Équipement,"Rue 2388, Rabat",05 37 00 00 88,05 37 00 00 88,2926807,2024-11-11,35,60,35,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,17,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027389,Marché de prestation 2389,Ministère de l'Équipement,"Rue 2389, Rabat",05 37 00 00 89,05 37 00 00 89,683842,2024-03-26,97,60,32,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027390,Marché de prestation 2390,Ministère de l'Équipement,"Rue 2390, Rabat",05 37 00 00 90,05 37 00 00 90,2494314,2024-09-07,65,45,30,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,17,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027391,Marché de prestation 2391,Ministère de l'Équipement,"Rue 2391, Rabat",05 37 00 00 91,05 37 00 00 91,286196,2024-08-01,120,33,55,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027392,Marché de prestation 2392,Ministère de l'Équipement,"Rue 2392, Rabat",05 37 00 00 92,05 37 00 00 92,112932,2024-12-19,108,24,20,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027393,Marché de prestation 2393,Ministère de l'Équipement,"Rue 2393, Rabat",05 37 00 00 93,05 37 00 00 93,2116666,2024-07-11,124,13,19,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027394,Marché de prestation 2394,Ministère de l'Équipement,"Rue 2394, Rabat",05 37 00 00 94,05 37 00 00 94,4147227,2024-07-26,30,54,26,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027395,Marché de prestation 2395,Ministère de l'Équipement,"Rue 2395, Rabat",05 37 00 00 95,05 37 00 00 95,1396222,2024-11-30,78,34,18,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027396,Marché de prestation 2396,Ministère de l'Équipement,"Rue 2396, Rabat",05 37 00 00 96,05 37 00 00 96,3726083,2024-04-02,78,37,14,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027397,Marché de prestation 2397,Ministère de l'Équipement,"Rue 2397, Rabat",05 37 00 00 97,05 37 00 00 97,1670771,2024-09-10,137,34,18,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027398,Marché de prestation 2398,Ministère de l'Équipement,"Rue 2398, Rabat",05 37 00 00 98,05 37 00 00 98,2548109,2024-11-19,44,57,50,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,7,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027399,Marché de prestation 2399,Ministère de l'Équipement,"Rue 2399, Rabat",05 37 00 00 99,05 37 00 00 99,1465399,2024-02-22,76,20,52,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027400,Marché de prestation 2400,Ministère de l'Équipement,"Rue 2400, Rabat",05 37 00 00 00,05 37 00 00 00,120413,2024-12-24,158,20,11,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027401,Marché de prestation 2401,Ministère de l'Équipement,"Rue 2401, Rabat",05 37 00 00 01,05 37 00 00 01,3139248,2024-11-20,100,25,52,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027402,Marché de prestation 2402,Ministère de l'Équipement,"Rue 2402, Rabat",05 37 00 00 02,05 37 00 00 02,880083,2024-10-04,112,46,25,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027403,Marché de prestation 2403,Ministère de l'Équipement,"Rue 2403, Rabat",05 37 00 00 03,05 37 00 00 03,601676,2024-05-04,178,51,31,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027404,Marché de prestation 2404,Ministère de l'Équipement,"Rue 2404, Rabat",05 37 00 00 04,05 37 00 00 04,3569250,2024-06-27,175,41,39,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027405,Marché de prestation 2405,Ministère de l'Équipement,"Rue 2405, Rabat",05 37 00 00 05,05 37 00 00 05,4944589,2024-06-27,107,17,55,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027406,Marché de prestation 2406,Ministère de l'Équipement,"Rue 2406, Rabat",05 37 00 00 06,05 37 00 00 06,4779643,2024-02-25,66,39,43,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027407,Marché de prestation 2407,Ministère de l'Équipement,"Rue 2407, Rabat",05 37 00 00 07,05 37 00 00 07,2742804,2024-03-23,149,25,31,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,20,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027408,Marché de prestation 2408,Ministère de l'Équipement,"Rue 2408, Rabat",05 37 00 00 08,05 37 00 00 08,1578246,2024-06-27,97,41,26,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027409,Marché de prestation 2409,Ministère de l'Équipement,"Rue 2409, Rabat",05 37 00 00 09,05 37 00 00 09,3404888,2024-04-04,60,39,56,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,15,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027410,Marché de prestation 2410,Ministère de l'Équipement,"Rue 2410, Rabat",05 37 00 00 10,05 37 00 00 10,2148156,2024-10-15,168,50,50,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027411,Marché de prestation 2411,Ministère de l'Équipement,"Rue 2411, Rabat",05 37 00 00 11,05 37 00 00 11,4563541,2024-01-07,113,32,30,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027412,Marché de prestation 2412,Ministère de l'Équipement,"Rue 2412, Rabat",05 37 00 00 12,05 37 00 00 12,3892183,2024-10-19,61,58,51,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,11,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027413,Marché de prestation 2413,Ministère de l'Équipement,"Rue 2413, Rabat",05 37 00 00 13,05 37 00 00 13,562901,2024-11-12,62,54,47,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027414,Marché de prestation 2414,Ministère de l'Équipement,"Rue 2414, Rabat",05 37 00 00 14,05 37 00 00 14,1596792,2024-09-19,179,60,44,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027415,Marché de prestation 2415,Ministère de l'Équipement,"Rue 2415, Rabat",05 37 00 00 15,05 37 00 00 15,2624393,2024-12-01,104,56,11,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027416,Marché de prestation 2416,Ministère de l'Équipement,"Rue 2416, Rabat",05 37 00 00 16,05 37 00 00 16,3130962,2024-06-23,113,48,47,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,20,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027417,Marché de prestation 2417,Ministère de l'Équipement,"Rue 2417, Rabat",05 37 00 00 17,05 37 00 00 17,324240,2024-04-11,79,15,41,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027418,Marché de prestation 2418,Ministère de l'Équipement,"Rue 2418, Rabat",05 37 00 00 18,05 37 00 00 18,3606347,2024-11-02,130,30,18,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027419,Marché de prestation 2419,Ministère de l'Équipement,"Rue 2419, Rabat",05 37 00 00 19,05 37 00 00 19,713067,2024-02-06,96,21,48,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027420,Marché de prestation 2420,Ministère de l'Équipement,"Rue 2420, Rabat",05 37 00 00 20,05 37 00 00 20,4484141,2024-08-05,109,20,21,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,17,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027421,Marché de prestation 2421,Ministère de l'Équipement,"Rue 2421, Rabat",05 37 00 00 21,05 37 00 00 21,2833826,2024-02-07,108,37,39,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027422,Marché de prestation 2422,Ministère de l'Équipement,"Rue 2422, Rabat",05 37 00 00 22,05 37 00 00 22,1969764,2024-11-16,89,16,14,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027423,Marché de prestation 2423,Ministère de l'Équipement,"Rue 2423, Rabat",05 37 00 00 23,05 37 00 00 23,2054480,2024-08-08,124,60,23,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027424,Marché de prestation 2424,Ministère de l'Équipement,"Rue 2424, Rabat",05 37 00 00 24,05 37 00 00 24,784813,2024-08-13,156,47,49,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027425,Marché de prestation 2425,Ministère de l'Équipement,"Rue 2425, Rabat",05 37 00 00 25,05 37 00 00 25,2917645,2024-07-06,146,20,30,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,17,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027426,Marché de prestation 2426,Ministère de l'Équipement,"Rue 2426, Rabat",05 37 00 00 26,05 37 00 00 26,3973773,2024-04-27,117,59,39,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,20,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027427,Marché de prestation 2427,Ministère de l'Équipement,"Rue 2427, Rabat",05 37 00 00 27,05 37 00 00 27,1202251,2024-06-19,99,27,19,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027428,Marché de prestation 2428,Ministère de l'Équipement,"Rue 2428, Rabat",05 37 00 00 28,05 37 00 00 28,4216687,2024-02-26,159,42,42,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027429,Marché de prestation 2429,Ministère de l'Équipement,"Rue 2429, Rabat",05 37 00 00 29,05 37 00 00 29,2010369,2024-06-21,33,49,60,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027430,Marché de prestation 2430,Ministère de l'Équipement,"Rue 2430, Rabat",05 37 00 00 30,05 37 00 00 30,327409,2024-05-07,31,17,49,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027431,Marché de prestation 2431,Ministère de l'Équipement,"Rue 2431, Rabat",05 37 00 00 31,05 37 00 00 31,669977,2024-10-09,44,28,26,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,11,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027432,Marché de prestation 2432,Ministère de l'Équipement,"Rue 2432, Rabat",05 37 00 00 32,05 37 00 00 32,4444849,2024-01-13,161,39,55,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,15,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027433,Marché de prestation 2433,Ministère de l'Équipement,"Rue 2433, Rabat",05 37 00 00 33,05 37 00 00 33,2813197,2024-03-24,140,59,16,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027434,Marché de prestation 2434,Ministère de l'Équipement,"Rue 2434, Rabat",05 37 00 00 34,05 37 00 00 34,734136,2024-08-24,39,46,35,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027435,Marché de prestation 2435,Ministère de l'Équipement,"Rue 2435, Rabat",05 37 00 00 35,05 37 00 00 35,1388436,2024-09-21,97,32,46,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027436,Marché de prestation 2436,Ministère de l'Équipement,"Rue 2436, Rabat",05 37 00 00 36,05 37 00 00 36,2884295,2024-11-21,160,49,50,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027437,Marché de prestation 2437,Ministère de l'Équipement,"Rue 2437, Rabat",05 37 00 00 37,05 37 00 00 37,618439,2024-05-13,42,11,29,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027438,Marché de prestation 2438,Ministère de l'Équipement,"Rue 2438, Rabat",05 37 00 00 38,05 37 00 00 38,1556648,2024-04-18,47,22,25,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2027439,Marché de prestation 2439,Ministère de l'Équipement,"Rue 2439, Rabat",05 37 00 00 39,05 37 00 00 39,2506011,2024-07-20,35,37,46,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
